id,role,type,description,size/ratio,style line ref,source
grass,tile,image,grass green meadow with small flowers and dirt patches,256x256 tile,"formula §1","generate (nano_banana_2)"
forest,tile,image,forest canopy of oaks with birch trunks,256x256 tile,"formula §1","generate (nano_banana_2)"
rock,tile,image,stone outcrop cracked boulders,256x256 tile,"formula §1","generate (nano_banana_2)"
water,tile,image,still river water with soft ripples,256x256 tile,"formula §1","generate (nano_banana_2)"
farm,sprite,image,wooden farm with wheat field and haystack,256x256,"formula §1","generate (nano_banana_2)"
house,sprite,image,medieval timber house thatched roof,256x256,"formula §1","generate (nano_banana_2)"
hut,sprite,image,medieval workshop hut wood and stone,256x256,"formula §1","generate (nano_banana_2)"
keep,sprite,image,medieval stone keep with tower and azure blue banner,256x256,"formula §1","generate (nano_banana_2)"
spearman,sprite,image,medieval spearman azure blue armor holding spear and blue pennant,256x256,"formula §1","generate (nano_banana_2)"
raider,sprite,image,barbarian raider hand axe red war paint oxblood cloak,256x256,"formula §1","generate (nano_banana_2)"
wall,decor,image,(procedural in canvas — stone courses) enumeration,"formula §1",procedural
tower,decor,image,(procedural in canvas — crenellated tower) ,"formula §1",procedural
music,audio,music,medieval battle theme looping 30s,audio,"game-audio.md","generate (sonilo_music)"
sfx_sword,audio,Sfx,sword clash one hit 1s,audio,"game-audio.md","generate (mirelo)"
sfx_build,audio,Sfx,carpentry build thud 1s,audio,"game-audio.md","generate (mirelo)"
cover,image,front,launch cover + icon (branding run),3:2 scene + 1:1 icon,branding.md,"generate_app_branding"
